CurrentValue,FID
302000,1365
200000,1366
155200,1367
275100,1368
277900,1369
216400,1370
231700,1371
532800,1372
218300,1373
234400,1374
206800,1375
433700,1376
179800,1377
6500,1378
256000,1379
252800,1380
336800,1381
333800,1382
497500,1383
239800,1384
238500,1385
440600,1386
181700,1387
353300,1388
307400,1389
94300,1390
365900,1391
373400,1392
247200,1393
372100,1394
240200,1395
334400,1396
372100,1397
142600,1398
205300,1399
213400,1400
278100,1401
861000,1402
174000,1403
274900,1404
193100,1405
195800,1406
378300,1407
149500,1408
218800,1409
217400,1410
269100,1411
346500,1412
175000,1413
532400,1414
259700,1415
1250700,1416
171500,1417
309000,1418
367200,1419
305900,1420
235300,1421
247100,1422
264900,1423
284400,1424
176700,1425
585500,1426
291100,1427
228300,1428
161300,1429
205700,1430
292000,1431
284055,1432
359200,1433
221800,1434
0,1435
5000,1436
683900,1437
212700,1438
239900,1439
276700,1441
375900,1442
331700,1443
577700,1444
188300,1445
148600,1446
173900,1447
247700,1448
270300,1449
2617800,1450
193200,1451
134500,1452
317000,1453
221000,1454
208500,1455
210300,1456
217100,1457
277200,1458
281800,1459
280800,1460
524200,1461
160200,1462
363400,1463
224900,1464
190700,1465
222800,1466
363500,1467
229100,1468
5000,1469
3894400,1470
311300,1471
217400,1472
219000,1473
1083000,1474
755500,1475
695500,1476
133700,1477
251800,1478
191000,1479
170600,1480
552700,1481
1485500,1482
378300,1483
428900,1484
208100,1485
225300,1486
124740,1487
188600,1488
133600,1489
273100,1490
183100,1491
178700,1492
467700,1493
82400,1494
341300,1495
214800,1496
687858,1497
539100,1498
212500,1499
212600,1500
191500,1501
173223,1502
869400,1503
210500,1504
279700,1505
285600,1506
329000,1507
88800,1508
196400,1509
140000,1510
334500,1511
260900,1512
521200,1513
206100,1514
227100,1515
209500,1516
205800,1517
267500,1518
194100,1519
682100,1520
511300,1521
240500,1522
291100,1523
208300,1524
189200,1525
287000,1526
211900,1527
212100,1528
228200,1529
155500,1530
242400,1531
184900,1532
349400,1533
202200,1534
153766,1535
4241500,1536
198300,1537
121400,1538
163800,1539
254300,1540
200300,1541
220300,1542
289000,1543
5000,1544
206400,1545
209600,1546
243700,1547
308900,1548
235700,1549
140000,1550
207000,1551
237000,1552
367000,1553
826400,1554
216100,1555
147600,1556
192700,1557
261800,1558
249400,1559
248800,1560
144000,1561
186500,1562
311500,1563
134200,1564
343400,1565
129200,1566
423400,1567
218500,1568
238100,1569
308500,1570
321800,1571
218600,1572
247900,1573
138500,1574
326700,1575
148700,1576
5300,1577
206100,1578
195600,1579
188700,1580
723700,1581
183900,1582
315000,1583
313000,1584
138500,1585
272400,1586
153900,1587
297000,1588
168700,1589
201600,1590
222900,1591
362000,1592
207200,1593
116550,1594
521900,1595
5000,1596
188600,1597
433400,1598
268900,1599
278300,1600
578100,1601
314900,1602
170400,1603
217100,1604
138500,1605
94300,1606
167700,1607
442000,1608
204300,1609
196700,1610
250400,1611
220900,1612
281500,1613
134600,1614
126600,1615
218100,1616
190400,1617
244000,1618
142900,1619
146700,1620
552700,1621
190200,1622
234500,1623
350200,1624
175000,1625
244100,1626
381900,1627
185700,1628
164400,1629
126800,1630
267900,1631
252000,1632
130800,1633
207200,1634
225900,1635
321000,1636
211800,1637
215500,1638
15800,1639
294900,1640
238700,1641
174700,1642
188400,1643
430300,1644
1718400,1645
160600,1646
350300,1647
214500,1648
317600,1649
318800,1650
170500,1651
333600,1652
180200,1653
218500,1654
204800,1655
131900,1656
200800,1657
222100,1658
210300,1659
225200,1660
140000,1661
240300,1662
346900,1663
317300,1664
278800,1665
480200,1666
280500,1667
800200,1668
2932000,1669
333500,1670
247300,1671
345600,1672
319000,1673
240700,1674
263100,1675
214700,1676
223300,1677
206800,1678
387700,1679
442100,1680
251000,1681
250500,1682
223400,1683
204900,1684
262900,1685
283300,1686
232400,1687
263400,1688
15900,1689
27100,1690
472200,1691
552000,1692
194100,1693
364300,1694
310000,1695
176900,1696
299300,1697
549000,1698
537900,1699
5000,1700
300000,1701
376800,1702
201500,1703
318100,1704
226300,1705
515600,1706
168400,1707
631400,1708
178200,1709
5000,1710
515100,1711
5000,1712
135300,1713
219300,1714
192900,1715
769800,1716
187500,1717
317000,1718
1526600,1719
251500,1720
2881900,1721
206200,1722
2067500,1723
141500,1724
282300,1725
183300,1726
1108400,1727
269700,1728
178300,1729
143000,1730
1033500,1731
376400,1732
0,1733
237500,1734
208800,1735
186200,1736
262300,1737
455500,1738
9200,1739
232800,1740
283600,1741
200100,1742
49500,1743
276700,1744
349100,1745
300300,1746
243000,1747
223500,1748
2077300,1749
1168300,1750
493700,1751
506500,1752
212900,1753
170400,1754
134800,1755
228200,1756
315900,1757
121100,1758
308900,1759
228200,1760
240800,1761
126600,1762
277100,1763
808500,1764
240700,1765
182700,1766
192800,1767
248200,1768
264300,1769
487200,1770
692300,1771
207000,1772
195300,1773
343800,1774
292100,1775
1027100,1776
18700,1777
197600,1778
0,1779
313000,1780
319800,1781
366400,1782
177200,1783
260100,1784
18158900,1785
217300,1786
196800,1787
178400,1788
110000,1789
151500,1790
339900,1791
266800,1792
435500,1793
197700,1794
202700,1795
178300,1796
236300,1797
211200,1798
239100,1799
482000,1800
75900,1801
192000,1802
261600,1803
124400,1804
400000,1805
303400,1806
326700,1807
331400,1808
591900,1809
310300,1810
264600,1811
148634,1812
198100,1813
229000,1814
176400,1815
304400,1816
274700,1817
203500,1818
190700,1819
141500,1820
191400,1821
441400,1822
409100,1823
392600,1824
75600,1825
211900,1826
165500,1827
134500,1828
264200,1829
191800,1830
319600,1831
215500,1832
956600,1833
227700,1834
246700,1835
200400,1836
247000,1837
176700,1838
240300,1839
2241500,1840
758300,1841
196600,1842
240300,1843
390300,1844
104400,1845
407800,1846
229800,1847
209100,1848
340500,1849
189100,1850
298200,1851
367900,1852
300000,1853
279700,1854
295700,1855
202400,1856
22110200,1857
433297,1858
182200,1859
231000,1860
522800,1861
179000,1862
376100,1863
154100,1864
138500,1865
203200,1866
189000,1867
254000,1868
1032000,1869
496900,1870
196800,1871
198300,1872
188300,1873
226200,1874
320400,1875
203100,1876
181900,1877
236100,1878
0,1879
224700,1880
684800,1881
78916,1882
149500,1883
465600,1884
328300,1885
251600,1886
0,1887
209500,1888
253600,1889
411300,1890
281000,1891
273800,1892
118700,1893
231500,1894
408500,1895
249100,1896
220900,1897
539500,1898
114100,1899
198300,1900
226300,1901
265000,1902
210000,1903
306200,1904
178300,1905
135000,1906
244100,1907
349200,1908
196300,1909
880500,1910
328600,1911
220100,1912
291500,1913
414000,1914
201600,1915
292100,1916
339000,1917
394100,1918
204700,1919
222500,1920
242400,1921
196700,1922
186300,1923
111172,1924
570400,1925
309900,1926
107900,1927
229300,1928
554300,1929
442100,1930
244100,1931
172100,1932
234800,1933
277900,1934
310000,1935
320600,1936
218700,1937
177200,1938
342500,1939
306500,1940
219400,1941
322600,1942
202300,1943
516700,1944
226200,1945
276600,1946
340900,1947
524300,1948
264300,1949
349400,1950
207700,1951
155300,1952
209700,1953
373900,1954
270000,1955
146100,1956
224000,1957
273600,1958
200100,1959
560600,1960
233800,1961
232000,1962
226200,1963
240300,1964
403500,1965
157700,1966
227900,1967
213100,1968
355500,1969
590000,1970
228000,1971
196100,1972
144000,1973
346500,1974
392700,1975
199300,1976
211800,1977
319600,1978
317500,1979
588100,1980
91400,1981
112969,1982
5000,1983
184500,1984
343900,1985
194800,1986
97700,1987
253800,1988
178300,1989
95600,1990
347300,1991
101100,1992
206800,1993
375800,1994
311500,1995
200600,1996
457100,1997
234800,1998
392100,1999
987000,2000
177300,2001
240900,2002
253100,2003
365500,2004
246400,2005
178300,2006
31735800,2007
820400,2008
507700,2009
300100,2010
215500,2011
335700,2012
195800,2013
201900,2014
180100,2015
253100,2016
398400,2017
223600,2018
217900,2019
163200,2020
249900,2021
1427000,2022
207600,2023
873800,2024
137000,2025
273900,2026
503800,2027
210800,2028
229200,2029
248600,2030
224700,2031
209700,2032
290500,2033
170500,2034
288400,2035
203200,2036
194400,2037
240600,2038
421200,2039
336100,2040
146900,2041
282800,2042
528900,2043
201300,2044
375000,2045
352100,2046
452300,2047
5000,2048
833400,2049
253600,2050
157800,2051
185200,2052
299700,2053
500700,2054
301200,2055
263800,2056
327400,2057
270100,2058
2800,2059
218300,2060
150900,2061
72500,2062
201200,2063
396100,2064
183200,2065
338600,2066
233100,2067
79500,2068
369600,2069
318800,2070
211500,2071
113286,2072
239100,2073
265900,2074
341300,2075
898500,2076
172100,2077
